Autot;Kulunut aika (s);Valtatiellä;Matkalla valtatielle;Matkalla valtatieltä;Matkalla laturille;Matkalla laturilta;Latautumassa;Odottamassa;Valtatiellä (mediaani);Matkalla valtatielle (mediaani);Matkalla valtatieltä (mediaani);Matkalla laturille (mediaani);Matkalla laturilta (mediaani);Latautumassa (mediaani);Odottamassa (mediaani);
9.0;45126.0;69.52962962962962;69.52962962962962;69.52962962962962;69.52962962962962;69.52962962962962;69.52962962962962;69.52962962962962;50.03333333333333;50.03333333333333;50.03333333333333;50.03333333333333;50.03333333333333;50.03333333333333;50.03333333333333;
19.0;55900.0;74.98245614035088;74.98245614035088;74.98245614035088;74.98245614035088;74.98245614035088;74.98245614035088;74.98245614035088;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;
29.0;86082.0;80.52413793103449;80.52413793103449;80.52413793103449;80.52413793103449;80.52413793103449;80.52413793103449;80.52413793103449;52.833333333333336;52.833333333333336;52.833333333333336;52.833333333333336;52.833333333333336;52.833333333333336;52.833333333333336;
39.0;124996.0;81.93846153846155;81.93846153846155;81.93846153846155;81.93846153846155;81.93846153846155;81.93846153846155;81.93846153846155;53.86666666666666;53.86666666666666;53.86666666666666;53.86666666666666;53.86666666666666;53.86666666666666;53.86666666666666;
49.0;136236.0;76.47959183673468;76.47959183673468;76.47959183673468;76.47959183673468;76.47959183673468;76.47959183673468;76.47959183673468;52.1;52.1;52.1;52.1;52.1;52.1;52.1;
59.0;109532.0;73.1457627118644;73.1457627118644;73.1457627118644;73.1457627118644;73.1457627118644;73.1457627118644;73.1457627118644;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;51.06666666666666;
69.0;106370.0;75.76038647342996;75.76038647342996;75.76038647342996;75.76038647342996;75.76038647342996;75.76038647342996;75.76038647342996;52.1;52.1;52.1;52.1;52.1;52.1;52.1;
79.0;169394.0;78.63291139240506;78.63291139240506;78.63291139240506;78.63291139240506;78.63291139240506;78.63291139240506;78.63291139240506;54.166666666666664;54.166666666666664;54.166666666666664;54.166666666666664;54.166666666666664;54.166666666666664;54.166666666666664;
89.0;117082.0;81.92584269662922;81.92584269662922;81.92584269662922;81.92584269662922;81.92584269662922;81.92584269662922;81.92584269662922;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;53.133333333333326;
99.0;172874.0;82.70235690235691;82.70235690235691;82.70235690235691;82.70235690235691;82.70235690235691;82.70235690235691;82.70235690235691;52.1;52.1;52.1;52.1;52.1;52.1;52.1;
